,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
232694,0,0,112640603,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0266333801497848,56320301.5,30.405591591021544,56320323,56320280,112640603,56320301.5,30.405591591021544,56320323,56320280,0,0.0,0.0,0,0,0,0,0,0,0.0266333801497848,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,0,0,0,-1,-1,0,0,0.0,0.0,0,0,56320301.5,30.405591591021544,56320323,56320280
79965,443,6,224,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,8928.5714285714,224.0,0.0,224,224,224,224.0,0.0,224,224,0,0.0,0.0,0,0,0,0,40,0,8928.5714285714,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2,0,0,0,256,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0
81605,5355,17,2249218,2,0,66,0,33,33,33.0,0.0,0,0,0.0,0.0,29.34353184084424,0.8891979345710376,2249218.0,0.0,2249218,2249218,2249218,2249218.0,0.0,2249218,2249218,0,0.0,0.0,0,0,0,0,16,0,0.8891979345710376,0.0,33,33,33.0,0.0,0.0,0,0,0,0,0,0,0,0,0,49.5,33.0,0.0,2,66,0,0,-1,-1,1,8,0.0,0.0,0,0,0.0,0.0,0,0
120123,53,17,1035,1,1,31,95,31,31,31.0,0.0,95,95,95.0,0.0,121739.130434783,1932.3671497585,1035.0,0.0,1035,1035,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,8,8,966.1835748792,966.1835748792,31,95,52.3333333333,36.9504172281,1365.3333333333,0,0,0,0,0,0,0,0,1,78.5,31.0,95.0,1,31,1,95,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0
65760,443,6,57382,9,7,557,3773,206,0,61.888888888888886,88.3437100823319,1460,0,539.0,655.4329358014695,75459.20323446377,278.8330835453626,3825.466666666666,5039.954518880201,11661,0,57382,7172.75,5653.053024693824,14121,73,34753,5792.166666666667,8466.812137201738,20301,0,0,0,192,152,156.8436094942665,121.98947405109617,0,1460,254.7058823529412,474.6863128300997,225327.0955882353,0,0,1,1,0,0,0,1,0,270.625,61.888888888888886,539.0,9,557,7,3773,8192,119,4,20,0.0,0.0,0,0,0.0,0.0,0,0
90352,5355,17,418079,2,0,44,0,22,22,22.0,0.0,0,0,0.0,0.0,105.2432674,4.783784883,418079.0,0.0,418079,418079,418079,418079.0,0.0,418079,418079,0,0.0,0.0,0,0,0,0,16,0,4.783784883,0.0,22,22,22.0,0.0,0.0,0,0,0,0,0,0,0,0,0,33.0,22.0,0.0,2,44,0,0,-1,-1,1,8,0.0,0.0,0,0,0.0,0.0,0,0
69801,53,17,47600,1,1,39,69,39,39,39.0,0.0,69,69,69.0,0.0,2268.907563,42.01680672,47600.0,0.0,47600,47600,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,8,8,21.00840336,21.00840336,39,69,49.0,17.32050808,300.0,0,0,0,0,0,0,0,0,1,73.5,39.0,69.0,1,39,1,69,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0
75401,37041,6,86489844,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0231241023,86489844.0,0.0,86489844,86489844,86489844,86489844.0,0.0,86489844,86489844,0,0.0,0.0,0,0,0,0,40,0,0.0231241023,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2,0,0,0,62560,-1,0,20,0.0,0.0,0,0,86489844.0,0.0,86489844,86489844
203754,445,6,173716,2,0,1,0,1,0,0.5,0.7071067812,0,0,0.0,0.0,5.7565221396,11.5130442792,173716.0,0.0,173716,173716,173716,173716.0,0.0,173716,173716,0,0.0,0.0,0,0,0,0,52,0,11.5130442792,0.0,0,1,0.6666666667,0.5773502692,0.3333333333,0,0,0,0,1,0,0,0,0,1.0,0.5,0.0,2,1,0,0,255,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0
263881,53,17,874,1,1,50,132,50,50,50.0,0.0,132,132,132.0,0.0,208237.9862700229,2288.329519450801,874.0,0.0,874,874,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,8,8,1144.1647597254005,1144.1647597254005,50,132,77.33333333333333,47.34272207354931,2241.333333333333,0,0,0,0,0,0,0,0,1,116.0,50.0,132.0,1,50,1,132,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0
26379,53565,6,17332,5,2,935,315,935,0,187.0,418.1447118,315,0,157.5,222.7386361,72120.93238,403.8772213,2888.666667,6694.410584,16547,3,17332,4333.0,8509.184724,17096,3,16547,16547.0,0.0,16547,16547,0,0,124,40,288.4837295,115.3934918,0,935,156.25,333.4104078,111162.5,0,0,1,1,0,0,0,1,0,178.5714286,187.0,157.5,5,935,2,315,65535,32768,1,20,0.0,0.0,0,0,0.0,0.0,0,0
235411,445,6,612841,6,5,455,338,140,0,75.8333333333,62.9362110924,145,0,67.6,69.7588704037,1293.9734776231,17.9491907363,61284.1,78995.5502747535,153864,3,612767,122553.4,68510.200060283,153927,3,612778,153194.5,730.2193734306,154077,152324,0,0,132,112,9.7904676743,8.1587230619,0,145,66.0833333333,63.40269328,4019.9015151515,0,0,0,1,0,0,0,0,0,72.0909090909,75.8333333333,67.6,6,455,5,338,8192,0,4,20,0.0,0.0,0,0,0.0,0.0,0,0
93655,53,17,53382,1,1,38,96,38,38,38.0,0.0,96,96,96.0,0.0,2510.2094338916,37.4658124461,53382.0,0.0,53382,53382,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,8,8,18.7329062231,18.7329062231,38,96,57.3333333333,33.486315613,1121.3333333333,0,0,0,0,0,0,0,0,1,86.0,38.0,96.0,1,38,1,96,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0
89739,49915,6,43,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,46511.62790697674,43.0,0.0,43,43,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,20,20,23255.81395348837,23255.81395348837,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,1,0,1,0,180,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0
103237,445,6,198759,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,20.124874848434537,66253.0,114654.84844959676,198645,2,198759,99379.5,140541.00829473225,198757,2,0,0.0,0.0,0,0,0,0,72,32,15.093656136325905,5.031218712108634,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,3,0,1,0,8192,8192,0,20,0.0,0.0,0,0,0.0,0.0,0,0
24355,40037,6,88455306,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0226102886354833,88455306.0,0.0,88455306,88455306,88455306,88455306.0,0.0,88455306,88455306,0,0.0,0.0,0,0,0,0,40,0,0.0226102886354833,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2,0,0,0,64000,-1,0,20,0.0,0.0,0,0,88455306.0,0.0,88455306,88455306
165569,49905,6,41,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,48780.487804878045,41.0,0.0,41,41,41,41.0,0.0,41,41,0,0.0,0.0,0,0,0,0,40,0,48780.487804878045,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2,0,0,0,260,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0
245360,53,17,803,1,1,51,79,51,51,51.0,0.0,79,79,79.0,0.0,161892.901618929,2490.6600249066,803.0,0.0,803,803,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,8,8,1245.3300124533,1245.3300124533,51,79,60.3333333333,16.1658075373,261.3333333333,0,0,0,0,0,0,0,0,1,90.5,51.0,79.0,1,51,1,79,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0
97796,53,17,37460,2,2,72,238,36,36,36.0,0.0,119,119,119.0,0.0,8275.49386,106.7805659,12486.66667,15288.6231,29546,23,29546,29546.0,0.0,29546,29546,23,23.0,0.0,23,23,0,0,16,16,53.39028297,53.39028297,36,119,69.2,45.46097227,2066.7,0,0,0,0,0,0,0,0,1,86.5,36.0,119.0,2,72,2,238,-1,-1,1,8,0.0,0.0,0,0,0.0,0.0,0,0
112829,53,17,1573,1,1,38,90,38,38,38.0,0.0,90,90,90.0,0.0,81373.1722822632,1271.4558169103625,1573.0,0.0,1573,1573,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,8,8,635.7279084551813,635.7279084551813,38,90,55.33333333333333,30.02221399786054,901.3333333333331,0,0,0,0,0,0,0,0,1,83.0,38.0,90.0,1,38,1,90,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0
271538,53,17,1012,1,1,40,139,40,40,40.0,0.0,139,139,139.0,0.0,176877.4703557312,1976.284584980237,1012.0,0.0,1012,1012,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,8,8,988.1422924901184,988.1422924901184,40,139,73.0,57.15767664977295,3267.0,0,0,0,0,0,0,0,0,1,109.5,40.0,139.0,1,40,1,139,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0
164415,53,17,2100,1,1,35,87,35,35,35.0,0.0,87,87,87.0,0.0,58095.2380952381,952.3809523809524,2100.0,0.0,2100,2100,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,8,8,476.1904761904762,476.1904761904762,35,87,52.33333333333333,30.02221399786054,901.3333333333331,0,0,0,0,0,0,0,0,1,78.5,35.0,87.0,1,35,1,87,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0
239606,5182,6,88471450,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.022606162779066,88471450.0,0.0,88471450,88471450,88471450,88471450.0,0.0,88471450,88471450,0,0.0,0.0,0,0,0,0,40,0,0.022606162779066,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2,0,0,0,64000,-1,0,20,0.0,0.0,0,0,88471450.0,0.0,88471450,88471450
213622,3389,6,1353091,8,7,1148,1581,677,0,143.5,228.12966237897004,1173,0,225.8571428571429,430.0986044197418,2016.8636107992736,11.085728897760756,96649.35714285716,252493.51691436692,968797,52,1353091,193298.7142857143,382098.8217715911,1058370,52,1296395,216065.8333333333,368962.2664216039,968797,57323,0,0,172,152,5.912388745472404,5.173340152288353,0,1173,170.56250000000003,319.4332415909987,102037.59583333335,0,0,0,1,0,0,0,0,0,181.9333333333333,143.5,225.8571428571429,8,1148,7,1581,8192,62852,5,20,0.0,0.0,0,0,0.0,0.0,0,0
147458,53,17,1243,1,1,42,102,42,42,42.0,0.0,102,102,102.0,0.0,115848.7530168946,1609.0104585679808,1243.0,0.0,1243,1243,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,8,8,804.5052292839904,804.5052292839904,42,102,62.0,34.64101615137755,1200.0,0,0,0,0,0,0,0,0,1,93.0,42.0,102.0,1,42,1,102,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0
179998,53,17,27805,1,1,42,155,42,42,42.0,0.0,155,155,155.0,0.0,7085.0566444884,71.9295090811,27805.0,0.0,27805,27805,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,8,8,35.9647545406,35.9647545406,42,155,79.6666666667,65.2405804184,4256.3333333333,0,0,0,0,0,0,0,0,1,119.5,42.0,155.0,1,42,1,155,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0
14170,9090,6,7010190,4,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.5705979438503094,2336730.0,1534801.387441059,4011956,998289,7010190,2336730.0,1534801.387441059,4011956,998289,0,0.0,0.0,0,0,0,0,160,0,0.5705979438503094,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,4,0,0,0,14600,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0
148640,53,17,356,1,1,40,56,40,40,40.0,0.0,56,56,56.0,0.0,269662.9213483146,5617.977528089888,356.0,0.0,356,356,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,8,8,2808.988764044944,2808.988764044944,40,56,45.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1,68.0,40.0,56.0,1,40,1,56,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0
51004,3389,6,2421307,8,7,1128,1581,661,0,141.0,222.62332056,1173,0,225.8571428571,430.0986044197,1118.8172338328,6.1950012948,172950.5,251973.2788381,956715,83,2421307,345901.0,405888.277163803,1244638,129,2189063,364843.833333333,290713.060723743,956715,233947,0,0,172,152,3.3040006905,2.8910006042,0,1173,169.3125,317.7312740352,100953.1625,0,0,0,1,0,0,0,0,0,180.6,141.0,225.8571428571,8,1128,7,1581,64240,62872,5,20,0.0,0.0,0,0,0.0,0.0,0,0
254673,53,17,339,1,1,40,56,40,40,40.0,0.0,56,56,56.0,0.0,283185.8407079646,5899.705014749263,339.0,0.0,339,339,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,8,8,2949.8525073746314,2949.8525073746314,40,56,45.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,1,68.0,40.0,56.0,1,40,1,56,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0
78319,80,6,74,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,27027.027027027,74.0,0.0,74,74,74,74.0,0.0,74,74,0,0.0,0.0,0,0,0,0,40,0,27027.027027027,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,2,0,0,0,278,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0
196684,53,17,17808,1,1,34,66,34,34,34.0,0.0,66,66,66.0,0.0,5615.4537286613,112.3090745732,17808.0,0.0,17808,17808,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,8,8,56.1545372866,56.1545372866,34,66,44.6666666667,18.4752086141,341.3333333333,0,0,0,0,0,0,0,0,1,67.0,34.0,66.0,1,34,1,66,-1,-1,0,8,0.0,0.0,0,0,0.0,0.0,0,0
71773,60629,6,6182,5,2,935,339,935,0,187.0,418.1447118,339,0,169.5,239.7091988,206082.1741,1132.319638,1030.333333,2185.319626,5479,6,6182,1545.5,2894.690024,5884,6,5479,5479.0,0.0,5479,5479,0,0,124,40,808.7997412,323.5198965,0,935,159.25,335.1463433,112323.0714,0,0,1,1,0,0,0,1,0,182.0,187.0,169.5,5,935,2,339,65535,32768,1,20,0.0,0.0,0,0,0.0,0.0,0,0
